"","zip","objectid","shape_area","shape_len","Case.Rate...Cumulative","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"120","60827",44,48551330.3923,28833.9637574,384.9,2018,28577,5.06,91.83,0.09,0.16,0,2.86,4.28,13.52,2591,4411,2039,2093,11727,1810,1697,1872,1706,2763,20232,17469,14.46,65.54,9.67,11.4
"121","60601",27,9166245.79985,19804.5821088,1451.4,2018,14675,74.17,5.57,0.45,18,0,1.81,8.68,0,550,156,907,909,8726,976,1009,324,859,2075,13855,11780,12.37,64.27,14.14,6.4
"122","60602",26,4847124.8171,14448.1749926,1688.1,2018,1244,68.17,3.78,5.31,19.45,0,3.3,6.51,0,61,87,18,91,987,46,53,0,5,5,1095,1090,8.76,91.24,0.4,0.2
"123","60603",19,4560228.98203,13672.6822885,1107.3,2018,1174,63.46,3.24,0,27.6,0,5.71,9.8,0,13,43,179,172,684,75,47,150,50,112,1118,1006,29.9,63.03,9.54,7.3
"124","60604",48,4294901.99439,12245.8084015,3964.2,2018,782,63.43,5.63,0,29.67,0,1.28,4.35,0,12,7,52,168,450,27,47,54,92,93,744,651,28.13,59.97,11.89,4.1
"125","60605",20,36301276.3485,37973.3461051,1420.8,2018,27519,61.2,17.18,0.18,16.1,0.03,5.31,5.84,2.39,837,1279,2172,2282,16364,1766,1520,1824,1360,2569,25259,22690,16.19,67.15,9.34,5.3
"126","60606",31,6766410.89809,12040.4402354,2289.6,2018,3101,72.75,2.35,0,18.09,0,6.8,6.29,0.73,57,44,0,139,1863,213,153,168,172,431,3000,2569,4.48,63.33,13.9,1.9
"127","60607",29,64664293.9426,39143.6395171,2504.1,2018,29591,58.17,14.51,0.13,22.58,0.1,4.51,8.3,3.94,1660,1392,2351,4588,20860,1392,859,1122,702,1604,26241,24637,23.45,80.81,5.42,6.1
"128","60608",28,176505462.522,53169.2177202,3406.4,2018,79205,44.61,17.65,0.47,12.09,0,25.18,50.69,29.85,4186,8507,4160,8583,41977,4890,4190,4044,3559,7852,64295,56443,16.09,69.02,9.91,10.3
"129","60609",22,213490325.264,58540.9204127,4190.6,2018,61495,44.72,24.71,0.85,6.3,0,23.43,53.44,25.76,4820,9276,4271,5123,27256,3473,4063,2998,2632,6977,44895,37918,15.28,67.24,11.35,9.9
